id,isResult,side,h,a,goals,xG,datetime,forecast,result,date,team,is_home,opponent,home_title,away_title,h_goals,a_goals,xG_num,xGA_num,rolling_xg,rolling_xga,rest_days,is_derby,euro_travel
18265,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '2'}","{'h': '0.358977', 'a': '1.66591'}",2023-03-15 19:30:00+00:00,"{'w': 0.0746654540204328, 'd': 0.22356999653391582, 'l': 0.701764549105093}",w,2023-03-15 19:30:00+00:00,Brentford,False,Southampton,Southampton,Brentford,0,2,1.66591,0.358977,1.769171,1.2479353999999998,4,False,False
18474,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '0.476467', 'a': '1.42133'}",2023-03-18 15:00:00+00:00,"{'w': 0.12328820692049236, 'd': 0.2699484536462732, 'l': 0.6067633393937154}",d,2023-03-18 15:00:00+00:00,Brentford,True,Leicester,Brentford,Leicester,1,1,0.476467,1.42133,1.4293884,1.2587253999999999,2,False,False
18484,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '3', 'a': '3'}","{'h': '3.8195', 'a': '1.2788'}",2023-04-01 14:00:00+00:00,"{'w': 0.8212654171051071, 'd': 0.09951997567846509, 'l': 0.07920283282813562}",d,2023-04-01 14:00:00+00:00,Brentford,False,Brighton,Brighton,Brentford,3,3,1.2788,3.8195,1.5631273999999997,1.7982213999999999,13,False,False
18448,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '0'}","{'h': '1.1445', 'a': '0.64499'}",2023-04-05 19:00:00+00:00,"{'w': 0.4775463074010546, 'd': 0.31506881266827974, 'l': 0.2073848799286799}",l,2023-04-05 19:00:00+00:00,Brentford,False,Manchester_United,Manchester United,Brentford,1,0,0.64499,1.1445,1.2034094,1.6920593999999998,4,False,False
18493,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '2'}","{'h': '2.06521', 'a': '1.02337'}",2023-04-08 14:00:00+00:00,"{'w': 0.6137974688628288, 'd': 0.20642347495740973, 'l': 0.1797790502836937}",l,2023-04-08 14:00:00+00:00,Brentford,True,Newcastle_United,Brentford,Newcastle United,1,2,2.06521,1.02337,1.2262754,1.5535354,2,False,False
18511,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '0'}","{'h': '0.93912', 'a': '1.5133'}",2023-04-15 14:00:00+00:00,"{'w': 0.23430502070511455, 'd': 0.2594029859386196, 'l': 0.506291993263237}",l,2023-04-15 14:00:00+00:00,Brentford,False,Wolverhampton_Wanderers,Wolverhampton Wanderers,Brentford,2,0,1.5133,0.93912,1.1957534,1.6695639999999998,7,False,False
18514,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '1'}","{'h': '2.03162', 'a': '1.66602'}",2023-04-22 14:00:00+00:00,"{'w': 0.466380356887551, 'd': 0.2128210440947246, 'l': 0.320798593920579}",d,2023-04-22 14:00:00+00:00,Brentford,True,Aston_Villa,Brentford,Aston Villa,1,1,2.03162,1.66602,1.5067840000000001,1.7185019999999998,7,False,False
18529,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '2'}","{'h': '1.21124', 'a': '0.695344'}",2023-04-26 18:45:00+00:00,"{'w': 0.4846032289302927, 'd': 0.3026815310785501, 'l': 0.21271523998679115}",w,2023-04-26 18:45:00+00:00,Brentford,False,Chelsea,Chelsea,Brentford,0,2,0.695344,1.21124,1.3900928000000001,1.19685,4,False,False
18534,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '2', 'a': '1'}","{'h': '1.32059', 'a': '0.939693'}",2023-04-29 14:00:00+00:00,"{'w': 0.4541877853130067, 'd': 0.2799296523098813, 'l': 0.26588256236257607}",w,2023-04-29 14:00:00+00:00,Brentford,True,Nottingham_Forest,Brentford,Nottingham Forest,2,1,1.32059,0.939693,1.5252127999999998,1.1558885999999997,2,False,False
18545,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '0'}","{'h': '1.992', 'a': '0.183892'}",2023-05-06 16:30:00+00:00,"{'w': 0.8137117309585387, 'd': 0.1590521971412065, 'l': 0.02723606822768666}",l,2023-05-06 16:30:00+00:00,Brentford,False,Liverpool,Liverpool,Brentford,1,0,0.183892,1.992,1.1489492000000001,1.3496145999999998,7,False,False
